idx,method,ws,bpr,mae
9,SSD,15,14.757181583205497,3.0893104
9,NCC,7,12.561203690083426,2.562339
9,NCC,15,8.923655620232417,2.210146
10,SAD,7,38.635601591314824,7.184195
10,SAD,15,23.21815331357783,4.5174656
10,SSD,7,34.96724030122611,6.586099
10,SSD,15,20.008337184750204,3.963471
10,NCC,7,15.817995632040164,3.2464185
10,NCC,15,11.631278942264995,2.5162122
11,SAD,7,27.48333034447904,4.7338347
11,SAD,15,16.88322274572458,3.1976979
11,SSD,7,26.04868028497367,4.495842
11,SSD,15,16.7658422863105,3.1014078
11,NCC,7,16.482172842726488,2.8935554
11,NCC,15,12.830336327621906,2.3810248
12,SAD,7,32.042432703975784,5.950028
12,SAD,15,20.009394694607185,4.0805454
12,SSD,7,30.23264917339736,5.6120625
12,SSD,15,19.24085648299169,3.8335466
12,NCC,7,16.91175511162724,3.1002195
12,NCC,15,13.053406229204453,2.468275
13,SAD,7,19.934497816593886,3.102987
13,SAD,15,14.430016088255574,2.2531419
13,SSD,7,19.61158354401287,3.1006415
13,SSD,15,16.064123190071246,2.5632808
13,NCC,7,14.991955872213284,2.8119693
13,NCC,15,15.076993794529994,2.465827
14,SAD,7,26.673210494307938,4.9835224
14,SAD,15,19.407427955658456,3.041336
14,SSD,7,25.444108954730225,4.6847305
14,SSD,15,19.914218955050305,3.0407226
14,NCC,7,15.168521343903038,2.525964
14,NCC,15,16.22691433631718,2.3708656
15,SAD,7,27.52965767208121,5.75345
15,SAD,15,17.933580156321224,3.8156767
15,SSD,7,25.54284380107401,5.352126
15,SSD,15,17.14641495169163,3.6159635
15,NCC,7,13.33955949879368,2.7030206
15,NCC,15,9.834005981566103,2.0123534
16,SAD,7,28.346859604445818,6.0916915
16,SAD,15,20.97127353214175,4.6245213
16,SSD,7,27.114025275483733,5.777211
16,SSD,15,19.731299236023514,4.312698
16,NCC,7,13.186329342885022,2.74846
16,NCC,15,10.793250351048385,2.3595283
17,SAD,7,29.164343509893246,5.6478057
17,SAD,15,20.240701706670293,4.2542734
17,SSD,7,27.684775957027263,5.4157434
17,SSD,15,19.736180050316175,4.1765485
17,NCC,7,14.72632079961923,2.6433256
17,NCC,15,12.53688719657306,2.274902
18,SAD,7,35.78729138592308,6.933933
18,SAD,15,23.791852389343838,4.7621164
18,SSD,7,33.497460350367994,6.5093017
18,SSD,15,21.536228879444387,4.4104104
18,NCC,7,18.88048097854255,4.081966
18,NCC,15,15.08551881413911,3.4119358
19,SAD,7,18.013356138267625,3.2268808
19,SAD,15,12.092425348338107,2.4632046
