method,ws,avg_bpr,avg_mae
SAD,7,32.99004554160417,7.160545
SAD,15,24.165948087357346,5.2052484
SSD,7,31.102972525626683,6.7982693
SSD,15,22.34609483843524,4.853729
NCC,7,13.331258552302959,2.931987
NCC,15,10.353673141216674,2.0855737
