Sequence,Case,ATE (m),RPE (m/frame)
03,Full,222.5660,0.6258
03,No_RANSAC,1488.7299,5.2326
03,No_Stereo_Scale,57.3681,0.4706
04,Full,177.7206,1.3563
04,No_RANSAC,2925.1006,25.3379
04,No_Stereo_Scale,61.8257,0.5637
